,0,1,2
0,followfriday,25,0
1,top,32,0
2,engag,7,0
3,member,16,0
4,commun,33,0
5,week,83,0
6,:),3568,0
7,hey,76,0
8,jame,7,0
9,odd,2,0
10,:/,5,0
11,pleas,97,0
12,call,37,0
13,contact,7,0
14,centr,2,0
15,02392441234,1,0
16,abl,8,0
17,assist,1,0
18,mani,33,0
19,thank,620,0
20,listen,16,0
21,last,47,0
22,night,68,0
23,bleed,2,0
24,amaz,51,0
25,track,5,0
26,scotland,2,0
27,congrat,21,0
28,yeaaah,1,0
29,yipppi,1,0
30,accnt,2,0
31,verifi,2,0
32,rqst,1,0
33,succeed,1,0
34,got,69,0
35,blue,9,0
36,tick,1,0
37,mark,1,0
38,fb,6,0
39,profil,2,0
40,15,5,0
41,day,246,0
42,one,129,0
43,irresist,2,0
44,flipkartfashionfriday,17,0
45,like,233,0
46,keep,68,0
47,love,400,0
48,custom,4,0
49,wait,70,0
50,long,36,0
51,hope,141,0
52,enjoy,75,0
53,happi,211,0
54,friday,116,0
55,lwwf,1,0
56,second,10,0
57,thought,29,0
58,’,21,0
59,enough,18,0
60,time,127,0
61,dd,1,0
62,new,143,0
63,short,7,0
64,enter,9,0
65,system,2,0
66,sheep,1,0
67,must,18,0
68,buy,11,0
69,jgh,4,0
70,go,148,0
71,bayan,1,0
72,:D,629,0
73,bye,7,0
74,act,8,0
75,mischiev,1,0
76,etl,1,0
77,layer,1,0
78,in-hous,1,0
79,wareh,1,0
80,app,16,0
81,katamari,1,0
82,well,81,0
83,…,38,0
84,name,18,0
85,impli,1,0
86,:p,137,0
87,influenc,18,0
88,big,33,0
89,...,289,0
90,juici,3,0
91,selfi,12,0
92,follow,381,0
93,perfect,24,0
94,alreadi,28,0
95,know,145,0
96,what',17,0
97,great,171,0
98,opportun,23,0
99,junior,2,0
100,triathlet,1,0
101,age,2,0
102,12,5,0
103,13,6,0
104,gatorad,1,0
105,seri,5,0
106,get,206,0
107,entri,4,0
108,lay,4,0
109,greet,5,0
110,card,8,0
111,rang,3,0
112,print,3,0
113,today,108,0
114,job,41,0
115,:-),692,0
116,friend',3,0
117,lunch,5,0
118,yummm,1,0
119,nostalgia,1,0
120,tb,2,0
121,ku,1,0
122,id,8,0
123,conflict,1,0
124,help,41,0
125,here',25,0
126,screenshot,3,0
127,work,110,0
128,hi,173,0
129,liv,2,0
130,hello,59,0
131,need,78,0
132,someth,28,0
133,u,175,0
134,fm,2,0
135,twitter,29,0
136,—,27,0
137,sure,58,0
138,thing,69,0
139,dm,39,0
140,x,72,0
141,i'v,35,0
142,heard,9,0
143,four,5,0
144,season,9,0
145,pretti,20,0
146,dope,2,0
147,penthous,1,0
148,obv,1,0
149,gobigorgohom,1,0
150,fun,58,0
151,y'all,3,0
152,yeah,47,0
153,suppos,7,0
154,lol,64,0
155,chat,13,0
156,bit,20,0
157,youth,19,0
158,💅,1,0
159,🏽,2,0
160,💋,2,0
161,seen,10,0
162,year,43,0
163,rest,12,0
164,goe,7,0
165,quickli,3,0
166,bed,16,0
167,music,21,0
168,fix,10,0
169,dream,20,0
170,spiritu,1,0
171,ritual,1,0
172,festiv,8,0
173,népal,1,0
174,begin,4,0
175,line-up,4,0
176,left,13,0
177,see,184,0
178,sarah,4,0
179,send,22,0
180,us,109,0
181,email,26,0
182,bitsy@bitdefender.com,1,0
183,we'll,20,0
184,asap,5,0
185,kik,22,0
186,hatessuc,1,0
187,32429,1,0
188,kikm,1,0
189,lgbt,2,0
190,tinder,1,0
191,nsfw,1,0
192,akua,1,0
193,cumshot,1,0
194,come,70,0
195,hous,7,0
196,nsn_supplement,1,0
197,effect,4,0
198,press,1,0
199,releas,11,0
200,distribut,1,0
201,result,2,0
202,link,18,0
203,remov,3,0
204,pressreleas,1,0
205,newsdistribut,1,0
206,bam,44,0
207,bestfriend,50,0
208,lot,87,0
209,warsaw,44,0
210,<3,134,0
211,x46,1,0
212,everyon,58,0
213,watch,46,0
214,documentari,1,0
215,earthl,2,0
216,youtub,13,0
217,support,27,0
218,buuut,1,0
219,oh,53,0
220,look,137,0
221,forward,29,0
222,visit,30,0
223,next,48,0
224,letsgetmessi,1,0
225,jo,1,0
226,make,99,0
227,feel,46,0
228,better,52,0
229,never,36,0
230,anyon,11,0
231,kpop,1,0
232,flesh,1,0
233,good,238,0
234,girl,44,0
235,best,65,0
236,wish,37,0
237,reason,13,0
238,epic,2,0
239,soundtrack,1,0
240,shout,12,0
241,ad,14,0
242,video,34,0
243,playlist,5,0
244,would,84,0
245,dear,17,0
246,jordan,1,0
247,okay,39,0
248,fake,2,0
249,gameplay,2,0
250,;),27,0
251,haha,53,0
252,im,51,0
253,kid,18,0
254,stuff,13,0
255,exactli,6,0
256,product,12,0
257,line,6,0
258,etsi,1,0
259,shop,16,0
260,check,52,0
261,vacat,6,0
262,recharg,1,0
263,normal,6,0
264,charger,2,0
265,asleep,9,0
266,talk,45,0
267,sooo,6,0
268,someon,34,0
269,text,18,0
270,ye,77,0
271,bet,6,0
272,he'll,4,0
273,fit,3,0
274,hear,33,0
275,speech,1,0
276,piti,3,0
277,green,3,0
278,garden,7,0
279,midnight,1,0
280,sun,6,0
281,beauti,50,0
282,canal,1,0
283,dasvidaniya,1,0
284,till,18,0
285,scout,1,0
286,sg,1,0
287,futur,13,0
288,wlan,1,0
289,pro,5,0
290,confer,1,0
291,asia,1,0
292,chang,24,0
293,lollipop,1,0
294,🍭,1,0
295,nez,1,0
296,agnezmo,1,0
297,oley,1,0
298,mama,1,0
299,stand,8,0
300,stronger,1,0
301,god,20,0
302,misti,1,0
303,babi,20,0
304,cute,26,0
305,woohoo,3,0
306,can't,43,0
307,sign,11,0
308,yet,13,0
309,still,48,0
310,think,63,0
311,mka,5,0
312,liam,8,0
313,access,3,0
314,welcom,73,0
315,stat,60,0
316,arriv,67,0
317,1,75,0
318,unfollow,63,0
319,via,69,0
320,surpris,10,0
321,figur,5,0
322,happybirthdayemilybett,1,0
323,sweet,19,0
324,talent,5,0
325,2,58,0
326,plan,27,0
327,drain,1,0
328,gotta,5,0
329,timezon,1,0
330,parent,5,0
331,proud,12,0
332,least,16,0
333,mayb,18,0
334,sometim,13,0
335,grade,4,0
336,al,4,0
337,grand,4,0
338,manila_bro,2,0
339,chosen,1,0
340,let,68,0
341,around,17,0
342,..,128,0
343,side,15,0
344,world,27,0
345,eh,2,0
346,take,43,0
347,care,18,0
348,final,30,0
349,fuck,26,0
350,weekend,75,0
351,real,21,0
352,x45,1,0
353,join,23,0
354,hushedcallwithfraydo,1,0
355,gift,8,0
356,yeahhh,1,0
357,hushedpinwithsammi,2,0
358,event,8,0
359,might,27,0
360,luv,6,0
361,realli,79,0
362,appreci,31,0
363,share,46,0
364,wow,22,0
365,tom,5,0
366,gym,4,0
367,monday,9,0
368,invit,17,0
369,scope,5,0
370,friend,61,0
371,nude,2,0
372,sleep,45,0
373,birthday,74,0
374,want,96,0
375,t-shirt,3,0
376,cool,38,0
377,haw,1,0
378,phela,1,0
379,mom,10,0
380,obvious,2,0
381,princ,1,0
382,charm,1,0
383,stage,2,0
384,luck,30,0
385,tyler,2,0
386,hipster,1,0
387,glass,5,0
388,marti,2,0
